País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,13/04/2024,22:30,18:30,Criciuma,Juventude,1,1,Bruno Pereira Vasconcelos,11,15,4,6,0,0,-,-,Não,-,-,2.13,3,3.89
Brazil,Serie A,2024,13/04/2024,22:30,18:30,Internacional,Bahia,2,1,Rodrigo Jose Pereira de Lima,21,13,8,3,0,0,-,-,Não,-,-,1.87,3.38,4.31
Brazil,Serie A,2024,14/04/2024,01:00,21:00,Fluminense,Bragantino,2,2,Maguielson Lima Barbosa,8,19,3,4,0,0,-,-,Não,-,-,1.78,3.48,4.79
Brazil,Serie A,2024,14/04/2024,01:00,21:00,Sao Paulo,Fortaleza,1,2,Alex Gomes Stefano,10,14,2,3,0,0,-,-,Não,-,-,1.88,3.29,4.47
Brazil,Serie A,2024,14/04/2024,20:00,16:00,Athletico-PR,Cuiaba,4,0,Jonathan Berkenstein Pinheiro,16,9,0,3,0,0,-,-,Não,-,-,1.57,3.69,6.61
Brazil,Serie A,2024,14/04/2024,20:00,16:00,Atletico GO,Flamengo RJ,1,2,Andre Luiz Skettino Policarpo Bento,12,12,5,3,2,0,45'+2 e 90'+11,-,Sim,0x0,1x2,4.83,3.69,1.72
Brazil,Serie A,2024,14/04/2024,20:00,16:00,Corinthians,Atletico-MG,0,0,Yuri Elino Ferreira Da Cruz,16,14,8,6,0,1,-,45'+4,Sim,0x0,0x0,2.56,2.98,3
Brazil,Serie A,2024,14/04/2024,20:00,16:00,Vasco,Gremio,2,1,Flavio Rodrigues De Souza,19,10,4,1,0,0,-,-,Não,-,-,2.17,3.22,3.4
Brazil,Serie A,2024,14/04/2024,21:00,17:00,Cruzeiro,Botafogo RJ,3,2,Matheus Delgado Candançan,12,11,4,3,0,1,-,72',Sim,2x1,3x2,2.2,3.12,3.5
Brazil,Serie A,2024,14/04/2024,22:30,18:30,Vitoria,Palmeiras,0,1,Braulio Da Silva Machado,12,15,3,5,0,0,-,-,Não,-,-,3.72,3.32,02.04
Brazil,Serie A,2024,17/04/2024,01:30,21:30,Bahia,Fluminense,2,1,Joao Vitor Gobi,15,23,4,5,0,0,-,-,Não,-,-,2.11,3.4,3.43
Brazil,Serie A,2024,17/04/2024,23:00,19:00,Bragantino,Vasco,2,1,Paulo Cesar Zanovelli da Silva,14,15,2,1,0,0,-,-,Não,-,-,1.94,3.44,3.96
Brazil,Serie A,2024,17/04/2024,23:00,19:00,Gremio,Athletico-PR,2,0,Marcelo de Lima Henrique,7,13,1,3,0,0,-,-,Não,-,-,2.6,3.22,2.75
Brazil,Serie A,2024,18/04/2024,00:00,20:00,Atletico-MG,Criciuma,1,1,Paulo Belence Alves Dos Prazeres Filho,12,10,2,4,0,0,-,-,Não,-,-,1.43,4.31,7.83
Brazil,Serie A,2024,18/04/2024,00:00,20:00,Fortaleza,Cruzeiro,1,1,Bruno Mota Correia,13,10,2,3,0,1,-,87',Sim,1x0,1x1,1.96,3.28,4.11
Brazil,Serie A,2024,18/04/2024,00:00,20:00,Juventude,Corinthians,2,0,Bruno Arleu de Araujo,16,10,3,1,1,0,90'+6,-,Sim,2x0,2x0,3.47,2.93,2.33
Brazil,Serie A,2024,18/04/2024,00:00,20:00,Palmeiras,Internacional,0,1,Lucas Paulo Torezin,17,21,2,4,0,0,-,-,Não,-,-,1.68,3.55,5.55
Brazil,Serie A,2024,18/04/2024,01:30,21:30,Flamengo RJ,Sao Paulo,2,1,Anderson Daronco,19,19,1,3,0,0,-,-,Não,-,-,1.7,3.44,5.55
Brazil,Serie A,2024,19/04/2024,01:30,21:30,Botafogo RJ,Atletico GO,1,0,Luiz Flavio de Oliveira,13,11,3,4,0,0,-,-,Não,-,-,1.76,3.55,4.73
Brazil,Serie A,2024,20/04/2024,20:00,16:00,Fluminense,Vasco,2,1,Wilton Pereira Sampaio,16,17,4,5,0,0,-,-,Não,-,-,1.96,3.38,3.93
Brazil,Serie A,2024,20/04/2024,22:30,18:30,Bragantino,Corinthians,1,0,Rafael Rodrigo Klein,21,10,4,2,0,0,-,-,Não,-,-,2.22,3.25,3.31
Brazil,Serie A,2024,20/04/2024,22:30,18:30,Gremio,Cuiaba,1,0,Bruno Pereira Vasconcelos,10,5,4,2,0,0,-,-,Não,-,-,1.7,3.45,5.47
Brazil,Serie A,2024,21/04/2024,01:00,21:00,Atletico-MG,Cruzeiro,3,0,Ramon Abatti Abel,15,17,2,2,0,0,-,-,Não,-,-,1.88,3.34,4.37
Brazil,Serie A,2024,21/04/2024,20:00,16:00,Athletico-PR,Internacional,1,0,Felipe Fernandes de Lima,15,15,4,5,1,0,87',-,Sim,1x0,1x0,1.99,3.33,3.87
Brazil,Serie A,2024,21/04/2024,20:00,16:00,Palmeiras,Flamengo RJ,0,0,Rodrigo Jose Pereira de Lima,23,14,5,4,0,0,-,-,Não,-,-,02.09,3.18,3.78
Brazil,Serie A,2024,21/04/2024,20:00,16:00,Vitoria,Bahia,2,2,Raphael Claus,12,13,3,3,0,0,-,-,Não,-,-,3.26,3.25,2.26
Brazil,Serie A,2024,21/04/2024,22:30,18:30,Atletico GO,Sao Paulo,0,3,Braulio Da Silva Machado,13,9,5,0,2,0,51' e 63',-,Sim,1x0,3x0,2.87,2.99,2.65
Brazil,Serie A,2024,21/04/2024,22:30,18:30,Botafogo RJ,Juventude,5,1,Arthur Gomes Rabelo,22,10,3,4,0,1,-,38',Sim,2x0,5x1,1.6,3.71,06.03
Brazil,Serie A,2024,27/04/2024,20:00,16:00,Vasco,Criciuma,0,4,Caio Max Augusto Vieira,13,7,1,0,0,0,-,-,Não,-,-,1.66,3.57,5.58
Brazil,Serie A,2024,27/04/2024,22:30,18:30,Cuiaba,Atletico-MG,0,3,Savio Pereira Sampaio,11,17,4,5,0,1,-,86',Sim,0x3,0x3,3.51,2.85,2.35
